"","id","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","cc","ccco","hydroxyl_alkl","aldehyde","ketone","carboxylic_acid","ester","ether_alicyclic","nitrate","nitro","aromatic_hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester","trans_NumOfConf","trans_MW","trans_pSat_Pa"
"1",0,641974.491,30.010564684,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.47818990945002,13.3723038482378
"2",1,10295.712,74.995642892,6,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.66000247644306,9.23948277685677
"3",2,13517.575,102.990557512,8,2,4,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.23114441334492,10.1484263564358,9.511745969604
"4",3,241.63,118.985472132,9,2,5,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.39038917031591,10.9080462105732,5.48740763053736
"5",4,315.357,134.980386752,10,2,6,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.39038917031591,11.6181059881549,5.75370533042157
"6",5,106.665,146.980386752,11,3,6,1,1,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.39038917031591,12.1235467892857,4.66969308200359
"7",6,67.529,162.975301372,12,3,7,1,1,6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.71176985940971,12.7661780252353,4.21255713524373
"8",7,0.0329691636,232.980780676,19,6,9,1,2,97,22,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,3.94485932086216,15.2637079596014,-3.41218259073712
"9",9,0.0112595767999999,231.00151612,21,7,8,1,1,50,16,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,3.23363503288679,15.198734030175,-4.48653624134636
"10",10,1.406,246.99643074,22,7,9,1,1,54,27,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,3.30916275726621,15.7161200918038,0.340748793388473
