Id,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,hydroxyl..alkyl.,aldehyde,ketone,carboxylic.acid,ester,ether..alicyclic.,nitrate,nitro,aromatic.hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester,pSat_Pa
0,30.010564684,4,1,1,0,0,1,1,apin_decane_toluene,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,641974.491
1,74.995642892,6,1,3,1,0,1,1,toluene,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10295.712
2,102.990557512,8,2,4,1,0,2,2,toluene,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13517.575
3,118.985472132,9,2,5,1,1,3,1,toluene,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,241.63
4,134.980386752,10,2,6,1,1,3,3,toluene,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,315.357
5,146.980386752,11,3,6,1,1,3,2,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,106.665
6,162.975301372,12,3,7,1,1,6,5,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,67.529
7,232.980780676,19,6,9,1,2,97,22,toluene,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0.0329691636
9,231.00151612,21,7,8,1,1,50,16,toluene,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0.0112595767999999
10,246.99643074,22,7,9,1,1,54,27,toluene,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1.406
11,232.980780676,19,6,9,1,2,118,30,toluene,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0.078466678
12,234.99643074,21,6,9,1,3,258,32,toluene,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,5.93136914e-05
13,250.99134536,22,6,10,1,3,465,37,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,7.10911441e-06
14,176.990951436,15,4,7,1,1,21,17,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,29.238
15,219.00151612,20,6,8,1,1,63,39,toluene,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0.782020144
16,250.99134536,22,6,10,1,3,442,40,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0.000146573025
17,307.976423568,25,7,12,2,1,86,40,toluene,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0.0897051218999999
18,278.98625998,24,7,11,1,2,189,40,toluene,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,0.0053399592
19,216.985866056,18,6,8,1,1,7,4,toluene,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0.0792357703
20,216.985866056,18,6,8,1,0,7,7,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,53.213
21,248.975695296,20,6,10,1,1,36,21,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,11.395
22,220.980780676,18,5,9,1,1,25,21,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2.821
24,295.976423568,24,6,12,2,1,228,40,toluene,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0.148114128
26,234.99643074,21,6,9,1,1,55,38,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1.087
27,250.99134536,22,6,10,1,2,134,40,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.022793284
28,266.98625998,23,6,11,1,2,70,13,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.213246949
29,311.971338188,25,6,13,2,1,85,40,toluene,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,2.166
30,220.980780676,18,5,9,1,1,51,36,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1.63
31,252.970609916,20,5,11,1,2,62,16,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.0136297652999999
